Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
APLT,55.69114225042927,46.29999923706055,35.64,30.79,25.53,8.079999923706055,55.470001220703125
LLY,55.68271960159422,153.50999450683594,143.46,130.9,125.71,105.04293060302734,162.92999267578125
CUE,55.66922556399647,27.68000030517578,18.35,14.79,13.13,6.78000020980835,27.68000030517578
LITE,55.66062241249258,81.20999908447266,75.6,73.4,69.25,40.470001220703125,92.8499984741211
TSM,55.653113747427206,52.90999984741211,50.61,53.0,50.32,35.61079406738281,59.75309753417969
REGN,55.63628677152116,563.4000244140625,502.47,404.64,376.48,273.4599914550781,574.3699951171875
NVMI,55.6340584534435,41.77000045776367,34.75,36.02,34.37,24.959999084472656,41.77000045776367
AXSM,55.61128136070667,87.97000122070312,70.47,63.81,54.12,16.709999084472656,106.23999786376953
GFI,55.55144752706553,8.109999656677246,6.28,6.04,5.87,3.5258400440216064,8.15999984741211
NBSE,55.48446566673007,8.739999771118164,7.17,6.55,6.23,2.569999933242798,8.739999771118164
MSCI,55.48379095379389,333.5799865722656,295.15,272.78,261.16,207.5949249267578,337.3399963378906
REKR,55.457302382216255,4.150000095367432,3.44,3.27,3.24,0.7799999713897705,5.340000152587891
ENTG,55.41641334806678,56.70000076293945,48.82,50.03,48.49,34.08035659790039,58.38032150268555
TMO,55.40079965255297,333.010009765625,307.59,311.64,304.47,255.3000030517578,342.7099914550781
VIPS,55.39789536776472,17.18000030517578,15.5,13.66,12.32,6.260000228881836,18.799999237060547
AHCO,55.382696175983575,16.405000686645508,15.68,12.84,12.18,8.109999656677246,18.149999618530273
LM,55.37699667567254,49.75,48.84,41.64,40.36,31.888935089111328,50.237037658691406
ATVI,55.349160298158004,73.13999938964844,61.32,58.48,56.55,41.91433334350586,73.13999938964844
CSGP,55.28146482109045,657.4199829101562,616.41,616.66,613.67,488.5400085449219,740.1199951171875
GSHD,55.28056234138415,61.5,48.2,47.08,46.7,31.940000534057617,62.400001525878906
IOVA,55.27752251768782,36.11000061035156,31.55,26.27,24.96,10.170000076293945,38.849998474121094
VICR,55.26790339807952,54.5,43.09,43.56,40.29,27.09000015258789,56.630001068115234
